title,year,link,price,monthly_payment,down_payment_pct,city,date,views,is_verified_seller,is_from_dealer,is_official_dealer,down_payment,mean_price,offer_price,generation,bodywork,engine_volume,mileage,transmission,drive,wheel,color,customs_clearance_in_kz,city_filter,price_numeric
Mercedes-Benz G 63 AMG,2024,https://kolesa.kz/a/show/215510123?search_id=dea713409444a65962ed7e87d7c6a43053f64854&search_type=filter&advert_position=55,153 000 000₸,,,Астана,30 апреля,563,FALSE,FALSE,FALSE,,177 311 000 ₸,153 000 000 ₸,2024 - н.в. W463 рестайлинг,Внедорожник,4 (бензин),18 000 км,Автомат,Полный привод,Слева,серебристый металлик,Да,all,153000000
Mercedes-Benz G 63 AMG,2018,https://kolesa.kz/a/show/217619316?search_id=dea713409444a65962ed7e87d7c6a43053f64854&search_type=filter&advert_position=56,76 000 000₸,,,Алматы,30 апреля,893,FALSE,FALSE,FALSE,,,76 000 000 ₸,2018 - н.в. W463,Внедорожник,4 (бензин),15 400 км,Автомат,Полный привод,Слева,черный,Нет,all,76000000
Lexus LX 600,2021,https://kolesa.kz/a/show/217394607?search_id=dea713409444a65962ed7e87d7c6a43053f64854&search_type=filter&advert_position=57,73 000 000₸,,,Актау,30 апреля,463,FALSE,FALSE,FALSE,,73 055 000 ₸,73 000 000 ₸,2021 - н.в. 4 поколение,Внедорожник,3.5 (бензин),90 000 км,Автомат,Полный привод,Слева,,Да,all,73000000
BMW M5,2024,https://kolesa.kz/a/show/217763006?search_id=dea713409444a65962ed7e87d7c6a43053f64854&search_type=filter&advert_position=58,113 056 188₸,,,Шымкент,30 апреля,865,TRUE,FALSE,FALSE,,,113 056 188 ₸,,Седан,4.4 (гибрид),,Автомат,Полный привод,Слева,синий,Да,all,113056188
BMW X7 XDrive 40i,2022,https://kolesa.kz/a/show/218603724?search_id=dea713409444a65962ed7e87d7c6a43053f64854&search_type=filter&advert_position=59,81 000 000₸,,,Костанай,30 апреля,52,FALSE,FALSE,TRUE,,79 300 000 ₸,81 000 000 ₸,2022 - н.в. G07 рестайлинг,Кроссовер,3 (бензин),,Автомат,Полный привод,Слева,черный металлик,Да,all,81000000
Mercedes-Maybach GLS 600,2019,https://kolesa.kz/a/show/218603018?search_id=dea713409444a65962ed7e87d7c6a43053f64854&search_type=filter&advert_position=60,117 000 000₸,,,Астана,30 апреля,62,FALSE,TRUE,FALSE,,,117 000 000 ₸,2019 - н.в. 1 поколение,Внедорожник,4 (гибрид),7 091 км,Автомат,Полный привод,Слева,,Да,all,117000000
BMW X7 XDrive 40i,2022,https://kolesa.kz/a/show/218603724?search_id=8c823cb8bdcad811b06f27aec73840489347aa24&search_type=filter&advert_position=61,81 000 000₸,,,Костанай,30 апреля,53,FALSE,FALSE,TRUE,,79 300 000 ₸,81 000 000 ₸,2022 - н.в. G07 рестайлинг,Кроссовер,3 (бензин),,Автомат,Полный привод,Слева,черный металлик,Да,all,81000000
Mercedes-Maybach GLS 600,2019,https://kolesa.kz/a/show/218603018?search_id=8c823cb8bdcad811b06f27aec73840489347aa24&search_type=filter&advert_position=62,117 000 000₸,,,Астана,30 апреля,63,FALSE,TRUE,FALSE,,,117 000 000 ₸,2019 - н.в. 1 поколение,Внедорожник,4 (гибрид),7 091 км,Автомат,Полный привод,Слева,,Да,all,117000000
Mercedes-Benz GLE 63 AMG,2019,https://kolesa.kz/a/show/214322582?search_id=8c823cb8bdcad811b06f27aec73840489347aa24&search_type=filter&advert_position=63,84 000 000₸,,,Алматы,30 апреля,3157,FALSE,FALSE,FALSE,,87 875 000 ₸,84 000 000 ₸,2019 - н.в. V167,Кроссовер,4 (бензин),2 800 км,Автомат,Полный привод,Слева,,Да,all,84000000
BMW X7 XDrive 40i,2022,https://kolesa.kz/a/show/216562089?search_id=8c823cb8bdcad811b06f27aec73840489347aa24&search_type=filter&advert_position=64,105 327 000₸,,,Павлодар,30 апреля,1061,FALSE,FALSE,TRUE,,,105 327 000 ₸,2022 - н.в. G07 рестайлинг,Кроссовер,3 (бензин),,Автомат,Полный привод,Слева,черный металлик,Да,all,105327000
